Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,Age,Customer_Days,MntTotal,AcceptedCmpOverall,AcceptedCmp5
65526,22,397,19,69,12,0,56,2238,497,0,0
68655,95,456,19,832,75,118,32,2847,1500,0,0
12393,38,5,6,15,11,7,42,2731,44,0,0
64509,19,836,185,575,24,25,30,2475,1645,1,0
33955,92,100,2,128,23,7,45,2483,260,0,0
31353,24,10,0,10,3,1,43,2341,24,0,0
55434,21,238,115,215,169,69,36,2426,806,0,0
28359,35,6,0,5,2,1,37,2404,14,0,0
57100,9,158,11,99,15,11,33,2201,294,0,0
69139,23,86,12,75,33,15,55,2312,221,0,0
52973,92,856,0,76,12,9,64,2757,953,0,0
51717,55,98,1,17,0,1,55,2472,117,1,0
18793,14,4,16,20,0,17,49,2692,57,0,0
66664,78,398,96,447,220,96,38,2801,1257,0,0
50664,64,313,8,104,6,4,61,2688,435,0,0
54414,49,109,18,16,24,26,57,2681,193,0,0
54549,8,216,2,6,0,0,68,2277,224,0,0
47111,35,595,71,153,120,112,49,2818,1051,0,0
41003,11,123,133,142,71,44,57,2628,513,0,0
19444,8,16,0,23,3,2,38,2286,44,0,0
36301,53,11,12,35,3,5,44,2406,66,0,0
73059,36,410,112,420,0,82,73,2461,1024,0,0
42731,64,159,2,51,6,2,51,2410,220,0,0
52854,43,105,0,10,0,1,61,2256,116,0,0
22775,40,5,1,8,0,0,42,2534,14,0,0
46681,52,269,15,69,15,19,72,2423,387,0,0
59821,11,629,0,70,0,0,65,2602,699,0,0
50002,21,443,5,71,21,16,66,2536,556,0,0
69755,23,217,77,373,111,23,75,2429,801,0,0
44078,17,24,1,10,2,0,51,2169,37,0,0
30560,6,9,1,5,4,5,44,2526,24,0,0
35924,56,8,0,14,2,3,51,2257,27,0,0
64140,71,1459,0,61,0,15,56,2438,1535,3,1
56386,51,230,48,214,13,32,39,2769,537,0,0
24594,94,1,3,6,10,0,41,2360,20,0,0
75774,27,340,21,134,258,14,39,2217,767,0,0
39228,1,7,1,6,0,3,60,2574,17,0,0
58494,56,298,7,68,4,0,46,2358,377,0,0
58684,71,479,35,179,28,7,39,2172,728,1,0
57136,18,267,140,599,34,12,53,2566,1052,0,0
56551,48,67,4,32,17,2,70,2212,122,0,0
22448,86,3,1,8,23,2,38,2282,37,0,0
82014,48,980,37,265,35,163,59,2837,1480,0,0
34213,2,50,4,28,6,3,57,2819,91,0,0
25358,57,19,0,5,0,0,73,2501,24,0,0
35544,77,30,5,23,4,1,42,2272,63,0,0
36634,0,213,9,76,4,3,66,2556,305,0,0
62670,57,539,30,92,80,46,66,2306,787,0,0
50334,24,284,16,160,84,16,48,2499,560,0,0
72066,55,1003,34,536,134,51,39,2165,1758,2,1
50729,62,239,13,143,45,4,62,2582,444,0,0
34916,89,51,23,82,33,0,52,2569,189,0,0
64892,77,527,24,230,32,24,44,2190,837,0,0
43602,45,19,5,12,10,3,54,2329,49,0,0
33996,46,40,2,15,8,0,31,2450,65,0,0
41473,80,21,8,20,15,3,35,2534,67,0,0
63246,60,593,30,91,29,22,53,2472,765,0,0
36732,71,21,5,3,10,1,61,2341,40,0,0
69084,43,1181,107,199,39,30,50,2381,1556,0,0
77766,97,1004,59,265,115,59,53,2651,1502,1,0
37929,49,202,2,46,3,2,35,2493,255,2,0
86610,66,446,107,768,33,196,69,2456,1550,0,0
80141,20,1184,102,673,52,40,34,2693,2051,1,1
72635,54,390,22,323,104,35,65,2550,874,1,0
69016,61,726,53,363,123,107,50,2743,1372,0,0
20193,18,8,8,22,24,11,29,2737,73,0,0
27573,45,50,15,110,39,15,45,2620,229,0,0
15862,26,1,1,4,11,9,41,2526,26,0,0
49544,0,308,0,73,0,0,44,2661,381,0,0
33228,28,22,2,31,7,4,40,2316,66,0,0
70440,49,690,117,499,76,102,42,2423,1484,1,0
38232,84,43,5,28,7,6,49,2322,89,0,0
22554,38,27,0,10,0,0,65,2762,37,0,0
23536,53,6,0,3,0,0,37,2184,9,0,0
49413,88,205,7,41,3,2,68,2406,258,0,0
42231,99,24,0,8,0,1,51,2255,33,0,0
78789,12,667,50,850,21,83,40,2849,1671,0,0
56534,35,691,7,61,10,0,52,2500,769,2,0
58350,5,493,26,206,116,80,49,2700,921,0,0
81217,77,493,70,324,146,40,31,2504,1073,0,0
49090,45,494,5,82,7,0,69,2504,588,0,0
61787,71,621,73,414,78,48,33,2517,1234,0,0
18169,40,9,0,5,0,0,35,2654,14,0,0
24336,82,1,6,2,8,2,39,2830,19,0,0
18222,70,12,4,19,12,6,30,2704,53,0,0
62335,87,243,131,217,85,6,68,2561,682,0,0
42033,95,11,1,4,2,0,49,2807,18,0,0
86580,72,532,21,127,26,20,37,2646,726,1,1
41437,5,29,0,2,0,0,63,2804,31,0,0
73705,86,612,91,520,258,107,69,2275,1588,0,0
61064,80,387,126,342,0,45,44,2826,900,0,0
38452,62,56,0,14,0,0,65,2250,70,0,0
18358,49,6,8,19,16,4,31,2380,53,0,0
55012,85,582,0,65,0,0,47,2259,647,0,0
9722,7,6,17,16,6,16,47,2794,61,0,0
38175,6,70,6,69,2,3,36,2438,150,0,0
58656,25,962,12,194,16,24,64,2806,1208,1,1
52117,55,112,10,107,30,0,55,2841,259,0,0
64813,81,293,0,124,179,97,42,2337,693,0,0
54222,98,199,12,31,3,12,47,2279,257,0,0
83512,31,1060,61,835,80,20,34,2171,2056,4,1
77520,30,940,44,396,0,88,61,2464,1468,3,1
41154,98,44,2,11,2,3,42,2605,62,0,0
80398,92,342,51,936,207,35,54,2755,1571,1,1
18746,41,2,10,11,12,9,28,2190,44,0,0
35196,68,75,12,141,43,39,36,2752,310,0,0
60230,78,520,20,367,39,81,64,2564,1027,0,0
22108,46,5,3,9,6,2,43,2211,25,0,0
44392,71,87,5,71,7,12,46,2456,182,0,0
55424,6,462,61,184,10,53,44,2740,770,1,0
17688,82,2,2,1,3,1,41,2691,9,0,0
92491,71,979,44,935,29,25,37,2583,2012,3,1
90273,32,704,129,853,120,74,29,2356,1880,3,1
82571,28,861,31,558,62,95,58,2247,1607,1,1
38513,20,172,3,115,16,0,38,2311,306,0,0
16653,10,5,7,31,15,4,41,2231,62,0,0
42586,7,194,2,56,0,0,65,2767,252,0,0
23529,67,9,7,13,3,2,55,2697,34,0,0
74881,48,505,72,270,36,27,59,2637,910,0,0
71107,61,533,10,217,198,174,69,2656,1132,0,0
46910,36,48,0,14,0,0,56,2257,62,0,0
18690,77,6,1,7,23,4,61,2707,41,0,0
37244,90,18,2,10,0,0,65,2587,30,1,0
82427,35,482,147,509,104,107,54,2268,1349,1,1
75342,38,204,97,97,21,118,62,2578,537,0,0
70044,46,1073,0,250,153,14,66,2655,1490,0,0
79146,33,245,16,223,21,43,53,2225,548,0,0
77437,70,560,21,442,29,44,57,2374,1096,1,1
54984,51,173,13,131,32,3,61,2195,352,1,0
42403,18,22,1,11,0,5,49,2359,39,0,0
55761,97,136,1,12,0,3,56,2225,152,1,0
37292,32,275,0,86,10,23,37,2596,394,0,0
45576,9,56,19,29,2,14,75,2191,120,0,0
70321,6,303,23,751,82,26,73,2688,1185,0,0
58086,80,708,7,62,0,0,51,2684,777,0,0
81795,74,324,132,693,27,118,68,2770,1294,0,0
28389,49,1,5,3,7,4,73,2745,20,0,0
66835,21,620,26,195,34,17,74,2433,892,0,0
69901,95,312,21,206,102,92,51,2555,733,0,0
80360,56,1493,86,454,112,43,71,2642,2188,3,1
63342,48,918,21,118,13,10,59,2780,1080,1,0
44989,26,98,0,106,49,10,46,2814,263,0,0
31859,3,3,4,7,15,8,40,2281,37,0,0
51569,39,380,0,47,6,0,71,2661,433,1,0
30372,33,15,0,12,7,3,49,2710,37,0,0
16014,42,3,9,4,7,8,41,2628,31,0,0
41120,80,24,2,23,0,8,52,2394,57,0,0
39763,9,80,1,60,4,6,49,2488,151,0,0
38725,52,31,0,6,2,1,65,2209,40,0,0
77981,78,138,120,204,16,126,48,2558,604,0,0
62905,68,166,75,96,119,107,56,2451,563,0,0
13533,45,12,3,8,8,0,41,2635,31,0,0
59481,47,178,3,85,71,66,45,2408,403,0,0
72117,34,707,20,171,65,60,43,2472,1023,0,0
21955,81,5,1,7,17,14,34,2454,44,0,0
67131,72,465,71,250,93,35,64,2619,914,0,0
36802,23,16,1,2,0,0,40,2172,19,0,0
71853,29,358,108,413,141,97,38,2576,1117,0,0
28249,80,1,9,7,2,14,59,2173,33,0,0
47808,30,123,1,26,2,0,45,2411,152,1,0
25509,15,40,3,30,10,7,46,2808,90,0,0
51012,86,102,9,63,2,9,74,2596,185,0,0
70596,68,347,44,534,17,0,35,2791,942,0,0
85431,54,376,53,462,168,53,68,2545,1112,0,0
42664,44,21,0,3,0,0,53,2262,24,0,0
42586,7,194,2,56,0,0,65,2767,252,0,0
29760,87,64,4,68,7,5,35,2828,148,0,0
28973,59,206,0,46,3,2,43,2783,257,0,0
39435,16,71,0,18,0,0,47,2486,89,0,0
65370,1,71,22,112,138,89,36,2491,432,0,0
20194,64,0,4,7,11,10,41,2718,32,0,0
42473,72,93,1,21,0,4,44,2291,119,0,0
64590,98,920,138,168,36,46,52,2782,1308,0,0
71232,91,653,17,170,34,26,61,2372,900,0,0
34600,8,199,33,60,8,3,49,2703,303,0,0
46904,20,153,4,56,0,9,53,2762,222,0,0
49094,6,376,0,38,11,8,47,2805,433,0,0
36075,54,46,0,30,12,1,37,2361,89,0,0
60839,72,600,21,128,223,150,41,2829,1122,0,0
77298,46,425,115,292,23,35,41,2398,890,0,0
34026,11,18,6,15,12,8,70,2487,59,0,0
48918,21,52,0,9,0,0,57,2237,61,0,0
82122,89,734,22,350,151,25,58,2477,1282,1,1
37697,82,34,6,21,11,4,44,2301,76,0,0
34074,69,135,1,41,10,1,68,2510,188,1,0
28520,55,11,0,10,0,2,60,2539,23,0,0
62535,13,163,48,90,0,45,65,2428,346,0,0
36273,80,29,3,30,3,2,43,2233,67,0,0
63404,97,734,26,70,11,44,56,2182,885,1,0
75774,27,340,21,134,258,14,39,2217,767,0,0
78416,99,453,38,279,188,38,44,2161,996,0,0
75702,87,1073,0,629,145,37,46,2782,1884,1,1
59385,85,135,0,10,0,4,69,2586,149,0,0
37070,30,231,7,137,4,15,54,2625,394,0,0
44689,82,18,0,5,0,0,69,2329,23,1,0
53977,21,620,16,165,0,24,62,2545,825,0,0
7144,92,81,4,33,5,2,54,2363,125,0,0
18701,95,12,4,2,10,6,56,2549,34,0,0
90369,2,292,51,981,224,23,64,2221,1571,0,0
63159,74,965,34,586,89,86,46,2760,1760,1,0
37758,49,27,2,10,0,0,54,2792,39,0,0
46757,71,777,30,163,0,51,57,2749,1021,0,0
79734,72,572,8,232,23,62,51,2160,897,1,0
63207,68,438,169,565,91,169,28,2684,1432,1,0
72071,4,531,69,300,150,138,66,2659,1188,0,0
21840,80,17,0,9,0,0,37,2502,26,0,0
58582,15,402,35,106,101,77,38,2433,721,1,0
72282,70,503,27,419,90,139,69,2504,1178,0,0
50387,91,369,9,87,12,14,64,2461,491,0,0
32583,10,5,0,3,0,0,59,2173,8,0,0
62568,99,362,17,398,80,35,58,2242,892,1,0
44635,25,56,0,9,0,0,49,2420,65,0,0
33316,34,79,1,31,4,4,49,2427,119,0,0
63967,57,387,84,141,73,35,52,2483,720,0,0
52513,84,367,17,241,104,188,42,2822,917,0,0
25293,51,15,0,11,0,2,51,2446,28,0,0
54111,97,267,6,54,8,3,55,2467,338,0,0
78394,13,298,27,697,216,24,34,2658,1262,0,0
80739,92,674,92,736,39,0,62,2561,1541,0,0
22669,30,16,14,36,37,22,45,2562,125,0,0
29236,30,37,4,24,16,9,33,2423,90,0,0
44911,11,159,0,22,2,1,61,2630,184,0,0
54693,72,686,17,142,23,26,58,2656,894,0,0
48186,39,97,3,66,12,7,46,2260,185,0,0
54809,0,63,6,57,13,13,43,2450,152,0,0
41580,15,56,5,24,4,0,42,2725,89,0,0
80336,12,209,19,456,160,142,50,2452,986,0,0
47743,56,198,2,43,0,12,63,2623,255,1,0
62972,39,313,15,47,20,0,65,2854,395,0,0
57333,55,941,14,397,76,58,66,2804,1486,0,0
32313,60,86,4,56,2,4,38,2662,152,0,0
84953,73,167,48,602,63,72,67,2550,952,3,1
27071,90,8,3,19,0,2,52,2226,32,0,0
68148,86,389,66,408,37,57,63,2461,957,0,0
65735,37,239,7,119,4,15,55,2363,384,0,0
86836,7,179,21,273,0,21,45,2814,494,3,1
4023,29,5,0,1,1,1,57,2165,8,0,0
30093,19,2,6,28,13,4,30,2515,53,0,0
57705,14,383,0,53,6,4,54,2328,446,0,0
25008,72,2,8,8,6,1,32,2306,25,0,0
83257,56,536,27,590,38,107,25,2808,1298,2,1
22280,85,2,1,4,3,1,45,2565,11,0,0
72159,62,322,53,899,34,40,42,2767,1348,0,0
64260,1,539,169,816,20,0,59,2693,1544,0,0
82733,28,712,50,420,65,38,36,2451,1285,0,0
74290,70,1121,0,72,0,12,49,2480,1205,2,0
58217,84,68,1,13,3,5,69,2748,90,0,0
21024,89,36,4,18,6,2,44,2519,66,0,0
70116,73,707,44,603,95,58,48,2678,1507,0,0
54006,42,174,77,203,6,24,35,2808,484,0,0
69063,16,666,35,124,69,8,54,2758,902,0,0
11448,16,0,0,0,6,2,45,2355,8,0,0
61825,56,162,50,100,55,30,41,2485,397,0,0
70886,65,407,70,239,103,88,49,2417,907,0,0
69109,10,823,25,459,124,29,38,2756,1460,1,1
60208,13,488,23,71,15,0,47,2789,597,1,0
32889,78,28,0,13,4,2,52,2455,47,0,0
34738,51,3,2,10,3,0,36,2208,18,0,0
30538,27,284,0,52,8,3,49,2795,347,0,0
82326,30,938,142,754,159,81,43,2270,2074,3,1
26642,71,13,2,15,2,2,53,2279,34,0,0
69932,97,412,172,153,150,105,56,2541,992,0,0
44503,83,31,1,8,0,0,48,2233,40,0,0
60200,3,502,19,132,0,6,72,2702,659,0,0
49638,71,18,10,3,3,5,68,2230,39,0,0
23830,3,1,8,6,4,8,33,2301,27,0,0
33051,15,100,71,243,108,94,61,2841,616,0,0
72905,52,407,114,445,181,165,62,2318,1312,1,0
69702,8,664,9,240,50,19,69,2654,982,0,0
70300,89,1045,61,338,60,46,45,2508,1550,0,0
70643,66,1218,107,304,23,143,36,2781,1795,0,0
30396,22,15,0,6,0,1,51,2219,22,1,0
50616,56,128,0,16,0,1,52,2231,145,0,0
62772,74,581,49,157,43,8,51,2565,838,1,0
30298,48,6,3,12,6,1,35,2200,28,0,0
52413,67,185,8,133,56,56,36,2762,438,0,0
44155,24,22,1,9,0,0,63,2320,32,0,0
86979,67,584,100,835,65,83,49,2393,1667,1,0
76532,38,355,30,177,90,138,45,2452,790,0,0
42081,86,175,10,110,54,6,38,2647,355,1,0
67546,90,864,134,768,150,38,32,2826,1954,0,0
88420,87,957,153,612,99,95,31,2217,1916,3,1
31158,62,25,6,16,20,0,35,2677,67,0,0
61671,23,641,7,56,0,0,52,2185,704,2,0
69719,99,273,86,208,177,14,46,2193,758,0,0
49160,29,122,21,43,25,10,71,2411,221,0,0
24882,52,1,4,10,29,0,42,2817,44,1,0
90933,90,1020,31,430,62,63,66,2249,1606,1,1
113734,9,6,2,3,1,262,75,2191,274,0,0
59292,71,378,14,68,19,14,70,2540,493,0,0
45759,13,42,1,18,3,0,56,2650,64,0,0
22148,16,15,5,14,0,4,37,2236,38,0,0
73395,94,272,7,80,20,7,33,2262,386,0,0
29819,77,9,1,24,2,1,49,2407,37,0,0
45688,20,279,0,18,0,0,52,2314,297,1,0
62820,51,398,61,265,138,61,66,2573,923,0,0
60491,81,637,47,237,12,19,49,2455,952,0,0
33235,71,45,0,16,2,1,34,2303,64,0,0
35701,36,21,1,9,7,3,61,2626,41,0,0
31535,95,15,4,13,0,0,40,2435,32,1,0
92556,32,493,183,352,184,23,60,2229,1235,0,0
67384,32,957,40,175,158,53,50,2755,1383,1,0
80573,85,829,138,430,60,92,49,2782,1549,0,0
77870,93,1017,50,500,65,50,53,2835,1682,2,0
52278,24,953,0,71,0,0,57,2679,1024,0,0
57107,44,159,0,120,0,0,52,2833,279,2,0
18929,15,32,0,8,23,4,30,2657,67,0,0
36038,82,23,0,15,0,2,39,2553,40,0,0
20180,27,18,42,24,15,20,44,2653,119,0,0
34230,72,15,0,4,0,0,55,2709,19,0,0
31878,7,23,4,5,10,5,43,2166,47,0,0
70932,57,200,193,100,46,185,48,2320,724,0,0
91249,84,1324,27,119,71,108,64,2776,1649,4,1
77598,53,1193,33,281,129,66,77,2430,1702,1,1
80982,48,505,137,401,104,22,61,2696,1169,0,0
22701,2,2,4,9,0,4,43,2456,19,0,0
55212,65,1103,0,45,0,0,51,2742,1148,2,0
70617,45,353,61,753,40,46,50,2530,1253,0,0
64849,42,652,48,350,94,84,63,2752,1228,0,0
62694,29,379,6,157,25,91,55,2536,658,0,0
61917,83,46,4,36,2,2,46,2380,90,0,0
67472,93,162,31,127,8,17,73,2433,345,0,0
21059,40,8,3,19,3,3,38,2332,36,0,0
29543,47,17,3,18,3,4,52,2248,45,0,0
75903,50,340,108,185,130,38,69,2606,801,0,0
34984,40,8,4,15,3,5,45,2820,35,0,0
54998,3,154,22,202,39,30,64,2635,447,0,0
54356,62,710,15,30,20,0,71,2746,775,0,0
34242,25,8,2,4,0,0,61,2257,14,0,0
25410,48,2,2,4,13,13,47,2461,34,0,0
73356,56,1050,14,322,0,14,36,2302,1400,3,1
28320,68,19,1,14,3,2,70,2690,39,0,0
23763,64,22,0,6,6,2,43,2850,36,0,0
72570,67,274,83,216,151,141,36,2224,865,0,0
34529,94,68,6,38,3,6,44,2812,121,0,0
70792,82,344,45,654,104,11,69,2667,1158,0,0
63211,3,145,193,459,205,26,38,2763,1028,0,0
83891,24,217,38,350,111,85,46,2168,801,0,0
36065,54,18,7,34,10,2,52,2614,71,0,0
39898,20,69,8,26,12,7,66,2661,122,0,0
51141,96,144,0,7,0,0,80,2515,151,0,0
56939,19,256,34,103,90,29,44,2443,512,0,0
80872,60,483,72,567,94,12,69,2207,1228,0,0
72335,2,1285,105,653,28,21,44,2844,2092,0,0
61798,13,338,4,89,11,8,56,2377,450,0,0
76842,37,605,10,345,84,54,70,2216,1098,0,0
29478,59,8,0,7,3,1,44,2322,19,0,0
46998,55,172,41,86,45,6,64,2774,350,1,0
96843,60,448,71,951,40,17,30,2591,1527,1,1
56551,48,67,4,32,17,2,70,2212,122,0,0
70053,38,512,53,98,81,179,55,2520,923,0,0
71670,8,1462,16,128,0,0,58,2514,1606,3,1
44359,19,20,0,14,7,3,42,2171,44,0,0
40887,32,50,4,44,10,10,68,2578,118,0,0
48877,27,102,1,15,2,0,54,2334,120,0,0
74485,58,499,149,815,173,49,73,2468,1685,0,0
64474,59,381,35,172,56,86,48,2409,730,0,0
77226,29,631,43,239,128,76,57,2280,1117,0,0
72643,60,526,80,553,123,94,71,2646,1376,1,0
85738,41,913,26,376,17,26,42,2316,1358,2,1
55686,27,673,0,199,37,47,54,2659,956,1,0
39062,28,23,0,9,0,0,37,2255,32,1,0
34600,8,199,33,60,8,3,49,2703,303,0,0
40794,18,261,23,73,4,23,45,2607,384,0,0
54690,76,111,16,37,7,9,49,2393,180,0,0
4428,0,16,4,12,2,4,51,2426,38,0,0
32632,32,63,151,137,153,19,57,2855,523,0,0
38236,2,58,0,18,2,0,52,2441,78,0,0
36781,16,29,1,17,0,3,41,2239,50,0,0
31385,56,3,2,12,0,1,36,2730,18,1,0
24570,97,28,34,62,11,14,36,2646,149,0,0
25509,15,40,3,30,10,7,46,2808,90,0,0
94642,35,879,143,797,106,143,69,2296,2068,2,1
58646,3,62,1,44,6,5,58,2543,118,0,0
53201,49,280,7,81,20,0,45,2661,388,0,0
21994,4,9,0,6,3,1,63,2711,19,0,0
57113,45,182,4,33,0,2,42,2667,221,0,0
51373,37,83,2,101,64,26,29,2531,276,0,0
23477,39,38,15,54,3,8,34,2410,118,0,0
58116,38,228,19,130,4,11,64,2236,392,0,0
72968,8,1092,37,592,145,37,57,2354,1903,1,0
39791,89,85,15,27,13,13,49,2617,153,0,0
91712,47,1276,24,746,94,29,73,2414,2169,1,1
94472,75,1017,33,417,108,100,62,2246,1675,2,1
13672,86,6,2,9,2,1,60,2597,20,0,0
96547,4,448,21,125,52,101,40,2196,747,3,1
79205,73,504,23,117,179,28,45,2828,851,1,0
56559,46,226,22,133,41,31,45,2710,453,0,0
32644,38,239,3,141,0,7,47,2688,390,1,0
67506,73,90,38,67,33,36,40,2337,264,0,0
24206,66,7,2,8,3,2,50,2637,22,0,0
28420,36,4,2,5,2,0,53,2346,13,0,0
22979,29,16,17,19,20,21,50,2820,93,0,0
33279,29,10,3,3,0,0,54,2176,16,0,0
46423,6,68,0,16,0,0,48,2443,84,0,0
30368,97,35,0,13,2,0,43,2393,50,0,0
63684,61,575,80,428,208,93,50,2739,1384,0,0
41638,68,315,0,31,4,0,56,2660,350,1,0
68805,73,182,2,49,17,13,61,2444,263,0,0
65814,90,561,14,113,10,14,54,2278,712,0,0
71964,81,587,51,932,180,34,62,2564,1784,0,0
39146,1,94,1,33,13,12,34,2659,153,0,0
96876,79,908,43,735,40,194,43,2486,1920,3,1
34445,92,228,122,122,208,129,39,2677,809,0,0
68281,31,995,112,417,42,48,62,2850,1614,0,0
37284,46,11,1,2,2,1,45,2616,17,0,0
36790,14,3,3,14,15,21,37,2644,56,0,0
27943,89,12,1,16,4,1,53,2599,34,0,0
22263,31,17,0,2,0,0,69,2250,19,0,0
30261,75,8,0,5,0,3,48,2801,16,0,0
28587,42,22,4,17,12,10,42,2296,65,0,0
43815,53,14,10,29,4,7,38,2609,64,0,0
48195,53,106,27,68,52,7,64,2318,260,0,0
77027,23,820,57,242,45,0,68,2303,1164,0,0
71322,57,753,43,226,69,10,55,2657,1101,0,0
32765,49,13,3,17,7,3,41,2285,43,0,0
29672,6,9,1,3,0,4,55,2633,17,0,0
23272,29,19,3,6,4,2,67,2414,34,0,0
49912,5,520,8,223,32,49,71,2819,832,1,0
7500,98,5,17,17,13,14,35,2856,66,0,0
68117,80,618,44,215,0,17,73,2635,894,1,0
67225,4,315,35,322,46,7,65,2374,725,0,0
17649,70,15,1,23,0,5,44,2388,44,0,0
55914,32,384,60,364,119,101,45,2585,1028,0,0
40059,82,110,29,92,28,10,36,2433,269,1,0
60905,27,208,17,76,36,17,70,2365,354,0,0
75330,94,555,82,257,93,61,43,2792,1048,0,0
60689,23,240,90,216,63,6,69,2552,615,0,0
38680,97,11,0,36,15,5,36,2617,67,0,0
61416,25,848,154,323,201,61,38,2665,1587,1,0
49767,92,202,47,197,55,42,29,2582,543,0,0
83273,98,433,89,650,16,102,50,2801,1290,0,0
29009,19,6,6,15,10,5,39,2371,42,0,0
45057,80,37,0,7,3,0,41,2369,47,0,0
37150,80,167,37,64,49,34,49,2815,351,0,0
43020,79,45,7,99,4,25,50,2370,180,0,0
53154,50,129,0,21,0,1,61,2179,151,0,0
65308,60,713,0,264,120,80,47,2450,1177,2,1
76467,44,676,161,426,210,44,50,2840,1517,0,0
81044,0,450,26,535,73,98,73,2343,1182,0,0
32871,28,22,2,12,0,2,69,2636,38,0,0
55801,35,367,4,51,6,4,45,2439,432,1,0
76320,49,526,35,214,69,53,61,2166,897,0,0
36927,46,51,0,16,0,0,65,2186,67,0,0
48794,97,25,0,11,3,0,67,2162,39,0,0
23478,51,28,6,27,12,17,55,2626,90,0,0
71128,80,958,159,447,20,0,47,2790,1584,0,0
70179,10,532,88,168,69,44,44,2502,901,0,0
59462,29,724,17,143,0,8,70,2699,892,0,0
38361,74,39,0,56,20,8,51,2343,123,0,0
70038,54,587,54,348,71,54,38,2406,1114,0,0
42554,93,29,1,11,0,0,42,2692,41,0,0
67445,63,757,80,217,29,80,46,2845,1163,0,0
67046,92,544,35,133,23,151,69,2698,886,0,0
42192,40,40,15,15,17,6,72,2455,93,0,0
77610,70,1245,33,332,21,33,68,2767,1664,0,0
31761,96,19,1,20,16,14,36,2244,70,0,0
34350,81,16,3,15,2,1,41,2412,37,0,0
54591,63,376,4,94,12,9,71,2487,495,0,0
71866,85,184,178,178,103,39,64,2345,682,0,0
25293,51,15,0,11,0,2,51,2446,28,0,0
42000,23,124,83,267,85,59,33,2694,618,0,0
69520,95,627,120,414,121,80,37,2516,1362,0,0
64713,11,180,60,241,13,54,50,2301,548,0,0
27889,42,14,0,4,0,0,43,2518,18,0,0
22123,77,3,3,24,34,7,60,2253,71,0,0
27803,40,8,26,46,38,9,47,2831,127,0,0
51651,32,293,6,23,13,6,60,2758,341,0,0
68487,48,758,12,385,33,89,32,2691,1277,0,0
56796,24,656,38,161,62,47,51,2657,964,0,0
87000,61,196,25,607,67,17,28,2720,912,0,0
79823,6,835,73,380,114,73,61,2249,1475,1,0
30828,16,16,11,15,2,0,40,2427,44,0,0
34109,39,9,1,5,2,1,49,2394,18,0,0
53367,2,229,7,140,10,3,46,2461,389,0,0
22390,49,0,1,4,15,1,51,2410,21,0,0
71322,31,121,24,124,24,15,44,2217,308,0,0
79244,58,471,102,125,212,61,27,2716,971,2,1
49912,5,520,8,223,32,49,71,2819,832,1,0
48699,90,26,1,10,2,0,70,2563,39,0,0
80144,47,240,132,445,250,192,45,2431,1259,0,0
54252,25,178,4,26,8,4,64,2556,220,0,0
81929,60,1486,55,278,49,0,44,2797,1868,2,1
76068,67,1115,12,128,33,12,45,2736,1300,2,0
53204,40,29,0,8,2,0,44,2260,39,0,0
67911,63,529,0,356,63,28,71,2197,976,0,0
14796,1,13,3,8,7,4,36,2809,35,0,0
78128,89,934,24,230,16,24,46,2289,1228,2,1
14188,40,2,7,11,16,12,48,2645,48,0,0
20425,5,4,12,5,3,16,34,2767,40,0,0
58646,3,62,1,44,6,5,58,2543,118,0,0
72967,1,158,35,179,0,0,50,2720,372,1,0
48150,24,173,2,39,3,2,71,2545,219,0,0
82332,89,830,59,968,51,79,59,2809,1987,1,1
58275,48,189,10,253,56,43,65,2551,551,0,0
44953,31,728,17,133,11,8,39,2714,897,1,0
34587,68,7,2,9,2,0,67,2203,20,0,0
43018,46,35,4,17,7,6,46,2399,69,0,0
45736,92,188,3,180,20,3,66,2499,394,0,0
66476,80,742,28,152,25,9,51,2366,956,0,0
27733,16,0,7,5,26,2,39,2466,40,0,0
69805,50,750,71,174,13,10,68,2318,1018,0,0
72217,93,816,42,450,55,56,58,2604,1419,0,0
25818,51,5,2,8,2,2,49,2778,19,0,0
37509,24,37,5,56,12,8,44,2814,118,0,0
25176,79,4,0,4,0,0,44,2482,8,0,0
43586,26,99,2,11,4,0,40,2827,116,0,0
53230,86,176,72,98,136,21,64,2854,503,0,0
50116,68,54,0,10,0,0,63,2168,64,1,0
84906,98,997,15,414,99,30,48,2427,1555,3,1
61286,34,356,0,107,19,9,54,2490,491,0,0
82333,60,1311,0,359,46,89,34,2615,1805,1,1
65220,3,890,63,292,0,25,55,2823,1270,0,0
33590,65,4,0,2,0,0,46,2397,6,0,0
30992,83,17,0,14,7,3,44,2592,41,0,0
72309,64,960,0,883,50,38,44,2634,1931,1,0
16005,69,1,3,2,20,30,40,2843,56,0,0
65487,48,240,67,500,199,0,63,2329,1006,0,0
58692,21,301,11,61,4,7,55,2243,384,0,0
40590,30,154,0,50,6,11,51,2429,221,1,0
20587,39,2,3,6,4,1,50,2208,16,0,0
62637,76,104,12,48,4,12,66,2279,180,0,0
29435,11,70,3,37,4,2,54,2851,116,0,0
19346,26,2,0,9,3,6,46,2309,20,0,0
35788,34,23,2,11,3,1,49,2316,40,0,0
36997,72,43,4,12,8,0,52,2672,67,0,0
23539,13,4,24,11,16,1,63,2280,56,0,0
65333,58,654,7,92,0,15,47,2322,768,2,1
78499,12,912,72,170,47,36,63,2377,1237,1,1
